reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany
"""It is, in more ways than one, a totally different creature from """"Cloverfield""""; one that is frequently jarring",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"I expected jump-in-my-seat scares. All I got was the fidgets and more laughs, most unintentional, than the last comedy I saw.",Rotten,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"10 Cloverfield Lane was a delightful ride, full of amusing scary bits and actors who are interesting to watch. Ultimately the biggest problem with 10 Cloverfield Lane was its sham of a marketing campaign.",Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A fun and tense film led by John Goodman and Mary Elizabeth Winstead and a great debut by director Dan Trachtenberg.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
"10 Cloverfield Lane still feels like the spec script it spawned from, trying vainly to pack tense set pieces and striking moments of violence into its simplistic chamber play.",Rotten,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
the movie comes loaded with everything a psychological thriller needs to shatter your nerves - and then kicks it up a notch.,Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
Chalk up 10 Cloverfield Lane as 2016's first great surprise you never saw coming.,Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A claustrophobic and apocalyptic thriller that surpasses the very good 2008 film that inspired it. [Full review in Spanish],Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
The horrors of that bunker far outweigh anything that could be waiting for them outside. Sometimes what is right in front of you is plenty terrifying enough.,Fresh,True,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
A movie that has a seventies sci-fi vibe but is in the thriller where it has its greatest achievements. [Full review in Spanish],Fresh,False,m/10_cloverfield_lane,10 Cloverfield Lane,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions
