,reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany,manual_labels,gpt4o,llama3-8b,llama3-70b
11499,reviewcontent: It's 300 at Sea and it's not entirely terrible.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/300_rise_of_an_empire,movietitle: 300: Rise of an Empire,"movieinfo: While King Leonidas and his 300 Spartans have their date with destiny at Thermopylae, another battle against the Persians is brewing, this time at sea. Themistocles (Sullivan Stapleton), a Greek general, sees the threat posed by the God-King Xerxes of Persia. He knows that he must unite all of Greece if he is to stand any chance of repelling the Persian invasion. Even if he accomplishes his mission, Themistocles must still face Artemisia (Eva Green), the ruthless leader of the Persian armada.","genres: Action & Adventure, Drama",productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
6475,reviewcontent: A technically proficient but disturbing adaptation (that) adopts a surprisingly macabre tone.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/10008502-christmas_carol,movietitle: Disney's A Christmas Carol,"movieinfo: Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.","genres: Animation, Drama, Kids & Family, Science Fiction & Fantasy",productioncompany: Walt Disney Studios,YES,YES,NO,YES
13167,"reviewcontent: A mess of nearly epic proportions, the film sees Barrymore trying to wrest control away from a bored, listless Sandler, who, at this point in his career, seems other either unwilling or unable to turn off/turn down his inner moron.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/blended,movietitle: Blended,"movieinfo: Recently divorced mom Lauren (Drew Barrymore) and widowed dad Jim (Adam Sandler) let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort; they and their children are forced to share the same suite and participate in a slew of family activities together.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,YES,NO,NO
862,"reviewcontent: It's thoroughly embalmed in the glossy lacquer of conventional baseball movies, and limited further by trying to deal with the horrors of racism in that context.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/42_2013,movietitle: 42,"movieinfo: In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
5970,"reviewcontent: By one way of looking at it, Fist Fight might be seen as a timely nightmare -- not about bullying but being downsized. For that reason alone, it's not a complete waste of time. Also it features a rampaging horse on meth.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/fist_fight_2017,movietitle: Fist Fight,"movieinfo: On the last day before summer vacation, high school teacher Andy Campbell tries his best to keep it together amid senior pranks, a dysfunctional administration and budget cuts that threaten his job. Things go from bad to worse when he crosses Ron Strickland, the school's toughest and most feared teacher. When Strickland gets fired, he challenges Campbell to a fight after school. As news of the showdown spreads like wildfire, poor Andy desperately seeks any way out of his date with certain doom.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
6706,reviewcontent: Zac Efron and Nicholas Sparks team up to complete a paint-by-numbers.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/the_lucky_one_2012,movietitle: The Lucky One,"movieinfo: U.S. Marine Sgt. Logan Thibault (Zac Efron) returns home from his third tour of duty in Iraq with the one thing he believes kept him alive: a photograph of a woman he doesn't even know. He learns the woman's name is Beth (Taylor Schilling) and goes to meet her, eventually taking a job at her family-run kennel. Though Beth is full of mistrust and leads a complicated life, a romance blooms, giving Logan hope that Beth could become more than just his good-luck charm.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
3017,"reviewcontent: The directing and editing are phenomenal, as are performances by the ensemble cast.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1144992-crash,movietitle: Crash,"movieinfo: Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).",genres: Drama,productioncompany: Lions Gate Films,NO,NO,NO,NO
3781,reviewcontent: Franco... delivers a solid performance as the strapping climber who shows his vulnerability when he reflects back on his life--the mistakes he's made and the moments he may miss.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/127_hours,movietitle: 127 Hours,"movieinfo: ""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""",genres: Drama,productioncompany: Fox Searchlight,NO,NO,NO,NO
3898,reviewcontent: Sam Mendes brings all his skills as a theatre director to make a film that is both epic and surprisingly intimate...,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1917_2019,movietitle: 1917,"movieinfo: During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.",genres: Drama,productioncompany: Universal Pictures,NO,NO,NO,NO
2250,"reviewcontent: A surprisingly strong film with a solid balance of humor and heart, actually making us feel for and identify with the characters rather than just go through the usual paces of an R-rated comedy.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/21_jump_street_2011,movietitle: 21 Jump Street,"movieinfo: When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.","genres: Action & Adventure, Comedy",productioncompany: Sony Pictures,NO,NO,NO,NO
